Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=8",h8,1,25,quic,0,24.998991288292
"star, k=8",h8,1,50,quic,0,29.876646072679055
"star, k=8",h8,1,75,quic,0,29.439818039423336
"star, k=8",h8,2,25,quic,0,49.953980447272535
"star, k=8",h8,2,50,quic,0,52.82758772333991
"star, k=8",h8,2,75,quic,0,51.48336529560975
"star, k=8",h8,4,25,quic,0,91.44444336166237
"star, k=8",h8,4,50,quic,0,84.50425776958228
"star, k=8",h8,4,75,quic,0,82.94108752045476
"star, k=16",h2,1,25,tcp,0,24.99790532285441
"star, k=16",h2,1,50,tcp,0,30.007112972345578
"star, k=16",h2,1,75,tcp,0,29.77468114386372
"star, k=16",h2,2,25,tcp,0,49.96806760358137
"star, k=16",h2,2,50,tcp,0,51.645133994104924
"star, k=16",h2,2,75,tcp,0,52.423206924825585
"star, k=16",h2,4,25,tcp,0,92.52026465520689
"star, k=16",h2,4,50,tcp,0,83.88960273802901
"star, k=16",h2,4,75,tcp,0,79.11948928560965
"star, k=16",h2,1,25,udp,13.65405455176468,1.9623879486574682
"star, k=16",h2,1,50,udp,3.1095486482709145,2.365540485617448
"star, k=16",h2,1,75,udp,0.59020975469697,2.369797227055439
"star, k=16",h2,2,25,udp,0.1666652679158992,4.692361981879871
"star, k=16",h2,2,50,udp,0.24480533071206054,4.6805242656272945
"star, k=16",h2,2,75,udp,0.24666187432310585,4.7413178818426305
"star, k=16",h2,4,25,udp,0.488243571488851,8.591671087854602
"star, k=16",h2,4,50,udp,0.7026077653711986,8.092865118360201
"star, k=16",h2,4,75,udp,3.61060801722861,7.771174907584703
"star, k=16",h2,1,25,quic,0,24.998337351956298
"star, k=16",h2,1,50,quic,0,29.30723857204876
"star, k=16",h2,1,75,quic,0,29.456474699497956
"star, k=16",h2,2,25,quic,0,49.98723233331564
"star, k=16",h2,2,50,quic,0,52.33569367426316
"star, k=16",h2,2,75,quic,0,51.960010928862296
"star, k=16",h2,4,25,quic,0,91.36675207112724
"star, k=16",h2,4,50,quic,0,84.25282062792107
"star, k=16",h2,4,75,quic,0,83.01808327914912
"star, k=16",h3,1,25,tcp,0,24.99135234169701
"star, k=16",h3,1,50,tcp,0,29.960491416967226
"star, k=16",h3,1,75,tcp,0,29.72170133930187
"star, k=16",h3,2,25,tcp,0,49.99375613070444
"star, k=16",h3,2,50,tcp,0,53.690252361320816
"star, k=16",h3,2,75,tcp,0,56.089425666114344
"star, k=16",h3,4,25,tcp,0,92.05475461246716
"star, k=16",h3,4,50,tcp,0,83.78020134639003
"star, k=16",h3,4,75,tcp,0,79.3859723678064
"star, k=16",h3,1,25,udp,3.7467351884855264,2.1711244613836986
"star, k=16",h3,1,50,udp,3.101860272880552,2.3550379051586097
"star, k=16",h3,1,75,udp,0.6890971236343436,2.401626042185604
"star, k=16",h3,2,25,udp,0.328944637422503,4.601188445661627
"star, k=16",h3,2,50,udp,0.417713017506221,4.666362782423968
"star, k=16",h3,2,75,udp,0.33658288718557083,4.5197178202219295
"star, k=16",h3,4,25,udp,1.8062913816010717,8.403916502103245
"star, k=16",h3,4,50,udp,0.3061617964320783,8.080215977538336
"star, k=16",h3,4,75,udp,0.7129362299093956,8.036986915873646
